id,classe,formato_cabeca,superficie_cabeca,cor_cabeca,MANCHA,odor,lamelas_grudadas,espacamento_lamelas,tamanho_lamela,cor_lamela,format_estipe,raiz_estipe,superficie_estipe_acima_anel,superficie_estipe_abaixo_anel,cor_estipe_acima_anel,cor_estipe_abaixo_anel,tipo_vel,cor_vel,numero_aneis,tipo_anel,cor_impressao_esporos,populacao,habitat
22,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
23,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
24,COMESTIVEL,CONVEXO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
25,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
26,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
27,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
28,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
29,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
30,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
31,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
32,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
33,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
34,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
35,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
36,COMESTIVEL,CONVEXO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
37,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
38,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
39,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
40,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
41,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
42,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
43,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
44,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
45,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
46,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
47,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
48,COMESTIVEL,CONVEXO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
49,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
50,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
51,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
52,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
53,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
54,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
55,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
56,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
57,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
58,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
59,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
60,COMESTIVEL,PLANO,LISO,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
61,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
62,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
63,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
64,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
65,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
66,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
67,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
68,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
69,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
70,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
71,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
72,COMESTIVEL,PLANO,LISO,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
73,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
74,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
75,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
76,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
77,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
78,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
79,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
80,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
81,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
82,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
83,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
84,COMESTIVEL,PLANO,FIBROSA,BRANCO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
85,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
86,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
87,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
88,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
89,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
90,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,AMENDOA,LIVRE,AGLOMERADO,ESTREITAS,MARROM,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
91,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
92,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,BRANCO,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,MARROM,VARIOS,BOSQUE
93,COMESTIVEL,PLANO,FIBROSA,AMARELO,MANCHA,ANIS,LIVRE,AGLOMERADO,ESTREITAS,ROSA,AFUNILADO,BULBOSO,LISO,LISO,BRANCO,BRANCO,PARTIAL,BRANCO,ONE,PENDENTE,ROXO,VARIOS,BOSQUE
